candidate_id,rank,elite,plain,best_grade,pids,markers,title,company,yoe,city,country,reloc,resp,days_active,notice,open_to_work,stuffer,n_jobs,short_ended,avg_tenure,consult_only,ghost
CAND_0000031,23,0,0,4,P28:4|P28:4|P28:4|P27:4,,Recommendation Systems Engineer,Swiggy,6.0,"Hyderabad, Telangana",India,True,0.91,17,60,True,0,4,2,17.5,0,0
CAND_0000112,,0,0,3,P26:3,,AI Specialist,Zomato,3.8,"Vizag, Andhra Pradesh",India,True,0.31,76,45,False,0,1,0,45.0,0,0
CAND_0000165,,0,0,3,P23:2|P21:3,,AI Specialist,Mad Street Den,6.8,San Francisco,USA,True,0.3,30,120,True,0,2,0,40.0,0,0
CAND_0000200,,0,0,3,P25:3|P26:3,,ML Engineer,Aganitha,4.3,"Indore, Madhya Pradesh",India,True,0.6,39,90,True,0,2,1,25.5,0,0
CAND_0000273,,0,0,3,P22:3|P24:3,,ML Engineer,BYJU'S,5.8,"Kolkata, West Bengal",India,True,0.47,34,60,True,0,2,0,34.5,0,0
CAND_0000422,,0,0,3,P26:3|P25:3|P22:3,,AI Research Engineer,Haptik,6.3,"Kolkata, West Bengal",India,False,0.79,78,90,True,0,3,1,25.0,0,0
CAND_0000666,,0,0,3,P25:3|P23:2|P22:3,,Data Scientist,PhonePe,6.5,"Vizag, Andhra Pradesh",India,False,0.29,107,60,True,0,3,1,25.7,0,0
CAND_0000705,,0,0,3,P23:2|P24:3,,AI Research Engineer,Zomato,3.6,"Indore, Madhya Pradesh",India,True,0.34,46,60,False,0,2,1,21.5,0,0
CAND_0000969,,0,0,3,P23:2|P26:3,,AI Specialist,Vedantu,5.5,"Coimbatore, Tamil Nadu",India,False,0.8,21,60,True,0,2,0,32.5,0,0
CAND_0000981,,0,0,3,P22:3|P26:3,,ML Engineer,Wysa,6.4,"Bhubaneswar, Odisha",India,False,0.55,110,120,False,0,2,0,38.0,0,0
CAND_0001056,,0,0,3,P23:2|P21:3,,Computer Vision Engineer,Genpact AI,5.1,"Jaipur, Rajasthan",India,True,0.84,88,90,False,0,2,0,30.0,0,0
CAND_0001126,,0,0,3,P25:3|P24:3,,Junior ML Engineer,Vedantu,4.9,"Indore, Madhya Pradesh",India,False,0.82,82,60,False,0,2,0,29.0,0,0
CAND_0001131,,0,0,3,P23:2|P25:3,,ML Engineer,Wysa,5.8,"Chennai, Tamil Nadu",India,True,0.58,75,90,True,0,2,0,34.5,0,0
CAND_0001151,,0,0,3,P22:3|P24:3|P21:3,,Junior ML Engineer,Aganitha,5.0,"Chennai, Tamil Nadu",India,False,0.56,81,45,False,0,3,1,19.7,0,0
CAND_0001218,,0,0,3,P22:3|P22:3|P22:3|P26:3,,AI Specialist,Nykaa,6.4,San Francisco,USA,False,0.82,93,90,True,0,4,2,18.8,0,0
CAND_0001302,,0,0,3,P25:3|P22:3|P21:3,,Computer Vision Engineer,Paytm,5.8,Sydney,Australia,False,0.8,110,45,True,0,3,1,22.7,0,0
CAND_0001389,,0,0,3,P24:3,,Senior Software Engineer (ML),Tech Mahindra,3.1,"Hyderabad, Telangana",India,True,0.63,80,45,True,0,1,0,37.0,0,0
CAND_0001405,,0,0,3,P21:3|P22:3,,Data Scientist,Infosys,3.5,"Kochi, Kerala",India,True,0.69,33,90,True,0,2,0,20.5,0,0
CAND_0001494,,0,0,3,P22:3|P22:3,,Data Scientist,Haptik,6.4,"Kochi, Kerala",India,True,0.3,106,90,True,0,2,0,38.0,0,0
CAND_0001600,,0,0,3,P24:3|P22:3,,AI Specialist,InMobi,6.2,"Jaipur, Rajasthan",India,False,0.42,17,120,False,0,2,0,36.5,0,0
CAND_0001608,,0,0,3,P26:3,,Senior Software Engineer (ML),Razorpay,4.1,"Chennai, Tamil Nadu",India,False,0.64,38,60,False,0,1,0,49.0,0,0
