scen,mode,policy,comp,n10,n50,map,p10
A180,avail,a_G3_by_signals,0.8381903898303612,0.95160205115768,0.8287551372842366,0.4250854871083357,1.0
A180,avail,b_G4_content_only,0.9191355283983008,0.95160205115768,0.8608423882418421,0.9005452423127215,1.0
A180,avail,c_mixed_CxA,0.9463055055079655,0.95160205115768,0.9016815997637527,1.0,1.0
A180,content,a_G3_by_signals,0.8255275316684209,0.95160205115768,0.7865456100777686,0.4250854871083357,1.0
A180,content,b_G4_content_only,0.9460874525334659,0.95160205115768,0.9009547565154198,1.0,1.0
A180,content,c_mixed_CxA,0.9325280894757507,0.95160205115768,0.8557568796563686,1.0,1.0
B504,avail,a_G3_by_signals,0.8669735332669527,0.9544144479192856,0.8449134864079372,0.5752817558995232,1.0
B504,avail,b_G4_content_only,0.9222582779102996,0.9544144479192856,0.8662851552777454,0.9011033824488872,1.0
B504,avail,c_mixed_CxA,0.9489851223064085,0.9544144479192856,0.9059263278225526,1.0,1.0
B504,content,a_G3_by_signals,0.8541955190807661,0.9544144479192856,0.8023201057873164,0.5752817558995232,1.0
B504,content,b_G4_content_only,0.9490294856672662,0.9544144479192856,0.9060742056920782,1.0,1.0
B504,content,c_mixed_CxA,0.9352865448301302,0.9544144479192856,0.8602644029016241,1.0,1.0
C1068,avail,a_G3_by_signals,0.9247621558264776,0.9544144479192856,0.8585458913661647,0.9332744297132355,1.0
C1068,avail,b_G4_content_only,0.9222582779102996,0.9544144479192856,0.8662851552777454,0.9011033824488872,1.0
C1068,avail,c_mixed_CxA,0.9489851223064085,0.9544144479192856,0.9059263278225526,1.0,1.0
C1068,content,a_G3_by_signals,0.9117773568878396,0.9544144479192856,0.8152632282373712,0.9332744297132355,1.0
C1068,content,b_G4_content_only,0.9490294856672662,0.9544144479192856,0.9060742056920782,1.0,1.0
C1068,content,c_mixed_CxA,0.9352865448301302,0.9544144479192856,0.8602644029016241,1.0,1.0
